Date,Open,High,Low,Close,Adj Close,Volume
12/31/2012,72.932854,76.485718,72.714287,76.024284,66.736229,164873100
1/2/2013,79.117142,79.285713,77.375717,78.432854,68.850548,140129500
1/3/2013,78.26857,78.524284,77.285713,77.442856,67.981491,88241300
1/4/2013,76.709999,76.947144,75.118568,75.285713,66.087891,148583400
1/7/2013,74.571426,75.614288,73.599998,74.842857,65.699158,121039100
1/8/2013,75.601425,75.984283,74.464287,75.044289,65.875954,114676800
1/9/2013,74.64286,75.001427,73.71286,73.871429,64.84639,101901100
1/10/2013,75.507141,75.531425,73.645714,74.78714,65.650238,150286500
1/11/2013,74.428574,75.045715,74.145714,74.328575,65.247704,87626700
1/14/2013,71.811432,72.5,71.215714,71.678574,62.921452,183551900
1/15/2013,71.185715,71.284286,69.054283,69.417145,60.936287,219193100
1/16/2013,70.662857,72.777145,70.35714,72.298569,63.465691,172701200
1/17/2013,72.901428,72.964287,71.718575,71.811432,63.038078,113419600
1/18/2013,71.21714,71.745712,70.914284,71.428574,62.701996,118230700
1/22/2013,72.080002,72.554283,70.947144,72.110001,63.300167,115386600
1/23/2013,72.687141,73.57,72.110001,73.43,64.458878,215377400
1/24/2013,65.714287,66.53286,64.321426,64.35714,56.49448,365213100
1/25/2013,64.527145,65.175713,62.142857,62.84,55.162701,302006600
1/28/2013,62.547142,64.744286,62.265713,64.261429,56.410473,196379400
1/29/2013,65.5,65.742859,64.58857,65.46714,57.468884,142789500
1/30/2013,65.285713,66.085716,64.928574,65.261429,57.288307,104288800
1/31/2013,65.28286,65.611427,64.997147,65.07,57.120266,79833600
2/1/2013,65.587143,65.639999,64.050003,64.802856,56.885754,134871100
2/4/2013,64.844284,65.134285,63.142857,63.188572,55.468674,119279300
2/5/2013,63.435715,65.677139,63.174286,65.405716,57.414951,143336900
2/6/2013,65.209999,66.64286,64.654289,65.335716,57.353516,148426600
2/7/2013,66.178574,67.14286,64.874283,66.888573,59.058853,176145200
2/8/2013,67.714287,68.401428,66.89286,67.854286,59.911518,158289600
2/11/2013,68.071426,69.277145,67.60714,68.561432,60.535877,129372600
2/12/2013,68.501427,68.91143,66.82,66.842857,59.018475,152263300
2/13/2013,66.744286,67.662857,66.174286,66.715714,58.906216,118801900
2/14/2013,66.360001,67.377144,66.288574,66.655716,58.853249,88818800
2/15/2013,66.978569,67.165718,65.702858,65.737144,58.042206,97936300
2/19/2013,65.871429,66.104286,64.835716,65.71286,58.020763,108945900
2/20/2013,65.384285,65.384285,64.114288,64.121429,56.615623,119075600
2/21/2013,63.714287,64.167145,63.259998,63.722858,56.263714,111795600
2/22/2013,64.178574,64.514282,63.799999,64.401428,56.862831,82663700
2/25/2013,64.835716,65.017143,63.224285,63.257141,55.852501,93144800
2/26/2013,63.402859,64.505714,62.522858,64.138573,56.630756,125374900
2/27/2013,64.061432,64.634285,62.950001,63.509998,56.075764,146837600
2/28/2013,63.435715,63.98143,63.057144,63.057144,55.675922,80628800
3/1/2013,62.57143,62.597141,61.425713,61.495716,54.297264,138112100
3/4/2013,61.114285,61.171429,59.857143,60.007141,52.982929,145688900
3/5/2013,60.21143,62.169998,60.107143,61.591427,54.381771,159608400
3/6/2013,62.072857,62.17857,60.632858,60.808571,53.690552,115062500
3/7/2013,60.642857,61.715714,60.151428,61.511429,54.311134,117118400
3/8/2013,61.400002,62.204285,61.23,61.674286,54.454929,97870500
3/11/2013,61.392857,62.715714,60.734287,62.552856,55.230663,118559000
3/12/2013,62.228573,62.697144,61.081429,61.204285,54.03994,116477900
3/13/2013,61.207142,62.07143,60.765713,61.192856,54.029842,101387300
3/14/2013,61.832859,62.091427,61.492859,61.785713,54.55331,75968900
3/15/2013,62.561428,63.46143,62.464287,63.380001,55.960979,160990200
3/18/2013,63.064285,65.351425,63.028572,65.102859,57.482178,151549300
3/19/2013,65.64286,65.852859,64.071426,64.927139,57.327007,131693800
3/20/2013,65.345711,65.375717,64.227142,64.582855,57.023029,77165200
3/21/2013,64.317146,65.425713,64.300003,64.675713,57.105022,95813900
3/22/2013,64.940002,66.014282,64.730003,65.987144,58.262951,98776300
3/25/2013,66.384285,67.135712,65.968575,66.225716,58.473579,125283900
3/26/2013,66.491432,66.548569,65.790001,65.877144,58.165817,73573500
3/27/2013,65.208572,65.257141,64.389999,64.582855,57.023029,82809300
3/28/2013,64.260002,64.545715,63.08857,63.237144,55.834843,110709900
4/1/2013,63.128571,63.385715,61.105713,61.272858,54.100498,97433000
4/2/2013,61.085712,62.591427,60.914288,61.398571,54.211483,132379800
4/3/2013,61.624287,62.468571,61.472858,61.712856,54.488991,90804000
4/4/2013,61.965714,62.142857,60.75,61.102856,53.95039,89611900
4/5/2013,60.642857,60.707142,59.954285,60.457142,53.380264,95923800
4/8/2013,60.692856,61.07143,60.355713,60.887142,53.759933,75207300
4/9/2013,60.908573,61.214287,60.392857,60.997143,53.857048,76653500
4/10/2013,61.157143,62.437141,60.85857,62.241428,54.955688,93982000
4/11/2013,61.959999,62.57,61.599998,62.047142,54.784145,82091100
4/12/2013,62.021427,62.021427,61.298573,61.400002,54.212742,59653300
4/15/2013,61,61.127144,59.935715,59.978573,52.95771,79380000
4/16/2013,60.224285,60.944286,60.081429,60.89143,53.763706,76442800
4/17/2013,60.03857,60.085712,56.872856,57.542858,50.80711,236264000
4/18/2013,57.855713,57.970001,55.677143,56.007141,49.451168,166574800
4/19/2013,55.424286,57.085712,55.014286,55.790001,49.259438,152318600
4/22/2013,56.091427,57.457142,55.895714,56.952858,50.286175,107480100
4/23/2013,57.712856,58.34,56.972858,58.01857,51.227139,166059600
4/24/2013,56.220001,59.32143,56.07143,57.922855,51.14262,242412800
4/25/2013,58.747143,59.134285,58.142857,58.34,51.510948,96209400
4/26/2013,58.544285,59.824287,58.32143,59.599998,52.623451,191024400
4/29/2013,60.064285,61.945713,60,61.445713,54.253109,160081600
4/30/2013,62.157143,63.607143,61.724285,63.254284,55.849964,172884600
5/1/2013,63.494286,63.561428,62.055714,62.755714,55.409767,126727300
5/2/2013,63.111427,64.084282,62.947144,63.645714,56.195595,105457100
5/3/2013,64.472855,64.747147,64.164284,64.28286,56.758148,90325200
5/6/2013,65.101425,66.028572,64.901428,65.815712,58.11158,124160400
5/7/2013,66.424286,66.535713,64.814285,65.522858,57.853008,120938300
5/8/2013,65.577141,66.48143,65.115715,66.262856,58.506386,118149500
5/9/2013,65.687141,66.14286,65.082855,65.252853,57.995953,99621900
5/10/2013,65.424286,65.672859,64.354286,64.709999,57.513474,83713000
5/13/2013,64.501427,65.414284,64.5,64.96286,57.738209,79237200
5/14/2013,64.835716,65.028572,63.164288,63.408573,56.356773,111779500
5/15/2013,62.737144,63,60.337143,61.264286,54.450962,185403400
5/16/2013,60.462856,62.549999,59.842857,62.082859,55.178509,150801000
5/17/2013,62.721428,62.869999,61.572857,61.894287,55.01091,106976100
5/20/2013,61.701427,63.685715,61.442856,63.275715,56.238693,112894600
5/21/2013,62.592857,63.639999,62.028572,62.808571,55.823502,114005500
5/22/2013,63.435715,64.050003,62.602856,63.049999,56.03809,110759600
5/23/2013,62.278572,63.737144,62.255714,63.162857,56.138401,88255300
5/24/2013,62.978573,63.665714,62.908573,63.592857,56.520561,69041700
